date,country
2023-10-12,ak
2023-10-13,md
2023-10-14,wv
2023-10-15,ct
2023-10-16,nh
2023-10-17,mo
2023-10-18,az
2023-10-19,ia
2023-10-20,ny
2023-10-21,az
2023-10-22,nd
2023-10-23,nm
2023-10-24,ne
2023-10-25,pa
2023-10-26,md
2023-10-27,md
2023-10-28,nd
2023-10-29,ky
2023-10-30,mn
2023-10-31,mn
2023-11-01,me
2023-11-02,ak
2023-11-03,co
2023-11-04,ma
2023-11-05,mn
2023-11-06,ga
2023-11-07,de
2023-11-08,fl
2023-11-09,mi
2023-11-10,sd
2023-11-11,nd
2023-11-12,tx
2023-11-13,mo
2023-11-14,nj
2023-11-15,al
2023-11-16,nj
2023-11-17,wa
2023-11-18,az
2023-11-19,ar
2023-11-20,ms
2023-11-21,ut
2023-11-22,wy
2023-11-23,mt
2023-11-24,la
2023-11-25,or
2023-11-26,wi
2023-11-27,wy
2023-11-28,in
2023-11-29,sd
2023-11-30,il
2023-12-01,sc
2023-12-02,nm
2023-12-03,ri
2023-12-04,ms
2023-12-05,in
2023-12-06,sd
2023-12-07,az
2023-12-08,va
2023-12-09,mn
2023-12-10,nv
2023-12-11,nh
2023-12-12,ne
2023-12-13,nd
2023-12-14,wy
2023-12-15,nh
2023-12-16,tx
2023-12-17,ar
2023-12-18,mo
2023-12-19,ca
2023-12-20,wv
2023-12-21,al
2023-12-22,nh
2023-12-23,tx
2023-12-24,ne
2023-12-25,ok
2023-12-26,ar
2023-12-27,tn
2023-12-28,tx
2023-12-29,id
2023-12-30,nd
2023-12-31,vt
2024-01-01,nh
2024-01-02,or
2024-01-03,ct
2024-01-04,ky
2024-01-05,co
2024-01-06,mn
2024-01-07,ct
2024-01-08,nd
2024-01-09,al
2024-01-10,ut
2024-01-11,al
2024-01-12,wv
2024-01-13,il
2024-01-14,ct
2024-01-15,mo
2024-01-16,ga
2024-01-17,or
2024-01-18,ri
2024-01-19,nj
2024-01-20,ct
2024-01-21,id
2024-01-22,sd
2024-01-23,il
2024-01-24,wa
2024-01-25,nc
2024-01-26,id
2024-01-27,wy
2024-01-28,ky
2024-01-29,ms
2024-01-30,ma
2024-01-31,ri
2024-02-01,wv
2024-02-02,ca
2024-02-03,sc
2024-02-04,me
2024-02-05,la
2024-02-06,wv
2024-02-07,sd
2024-02-08,md
2024-02-09,ky
2024-02-10,nc
2024-02-11,co
2024-02-12,wa
2024-02-13,mo
2024-02-14,wa
2024-02-15,la
2024-02-16,md
2024-02-17,co
2024-02-18,in
2024-02-19,il
2024-02-20,wi
2024-02-21,nm
2024-02-22,nc
2024-02-23,sd
2024-02-24,wa
2024-02-25,me
2024-02-26,ne
2024-02-27,mo
2024-02-28,de
2024-02-29,ms
2024-03-01,ks
2024-03-02,wi
2024-03-03,ny
2024-03-04,al
2024-03-05,nv
2024-03-06,nm
2024-03-07,la
2024-03-08,ri
2024-03-09,ok
2024-03-10,nd
2024-03-11,mt
2024-03-12,me
2024-03-13,ak
2024-03-14,wy
2024-03-15,in
2024-03-16,nc
2024-03-17,mn
2024-03-18,ri
2024-03-19,mo
2024-03-20,mt
2024-03-21,wv
2024-03-22,il
2024-03-23,wy
2024-03-24,sd
2024-03-25,ri
2024-03-26,wa
2024-03-27,mo
2024-03-28,ri
2024-03-29,ma
2024-03-30,wy
2024-03-31,nc
2024-04-01,ar
2024-04-02,ca
2024-04-03,md
2024-04-04,fl
2024-04-05,de
2024-04-06,mo
2024-04-07,nc
2024-04-08,ri
2024-04-09,ny
2024-04-10,ma
2024-04-11,nd
2024-04-12,la
2024-04-13,ga
2024-04-14,la
2024-04-15,wi
2024-04-16,co
2024-04-17,mt
2024-04-18,or
2024-04-19,wa
2024-04-20,tx
2024-04-21,ca
2024-04-22,ok
2024-04-23,al
2024-04-24,ia
2024-04-25,ky
2024-04-26,id
2024-04-27,ms
2024-04-28,nc
2024-04-29,ok
2024-04-30,ar
2024-05-01,fl
2024-05-02,id
2024-05-03,va
2024-05-04,id
2024-05-05,wy
2024-05-06,wa
2024-05-07,wa
2024-05-08,ks
2024-05-09,co
2024-05-10,dc
2024-05-11,tx
2024-05-12,or
2024-05-13,ut
2024-05-14,ks
2024-05-15,co
2024-05-16,wa
2024-05-17,wa
2024-05-18,ok
2024-05-19,ok
2024-05-20,nv
2024-05-21,nh
2024-05-22,ri
2024-05-23,nj
2024-05-24,ks
2024-05-25,ma
2024-05-26,ks
2024-05-27,nh
2024-05-28,nc
2024-05-29,ar
2024-05-30,fl
2024-05-31,mn
2024-06-01,sc
2024-06-02,or
2024-06-03,ut
2024-06-04,ky
2024-06-05,oh
2024-06-06,mn
2024-06-07,va
2024-06-08,id
2024-06-09,ar
2024-06-10,nv
2024-06-11,de
2024-06-12,de
2024-06-13,nv
2024-06-14,mo
2024-06-15,ia
2024-06-16,ca
2024-06-17,ct
2024-06-18,me
2024-06-19,az
2024-06-20,sd
2024-06-21,nc
2024-06-22,oh
2024-06-23,wy
2024-06-24,md
2024-06-25,dc
2024-06-26,ut
2024-06-27,ma
2024-06-28,wy
2024-06-29,dc
2024-06-30,ne
2024-07-01,az
2024-07-02,nj
2024-07-03,mi
2024-07-04,ok
2024-07-05,az
2024-07-06,ak
2024-07-07,md
2024-07-08,al
2024-07-09,de
2024-07-10,al
2024-07-11,ct
2024-07-12,mt
2024-07-13,ok
2024-07-14,mn
2024-07-15,ar
2024-07-16,ut
2024-07-17,ri
2024-07-18,sd
2024-07-19,pa
2024-07-20,il
2024-07-21,nc
2024-07-22,fl
2024-07-23,nc
2024-07-24,ca
2024-07-25,wa
2024-07-26,ct
2024-07-27,wi
2024-07-28,tx
2024-07-29,or
2024-07-30,ky
2024-07-31,ne
2024-08-01,hi
2024-08-02,la
2024-08-03,co
2024-08-04,ak
2024-08-05,ok
2024-08-06,sc
2024-08-07,tn
2024-08-08,wy
2024-08-09,sd
2024-08-10,mi
2024-08-11,la
2024-08-12,co
2024-08-13,al
2024-08-14,nv
2024-08-15,nj
2024-08-16,wa
2024-08-17,nm
2024-08-18,fl
2024-08-19,oh
2024-08-20,wa
2024-08-21,sd
2024-08-22,wv
2024-08-23,id
2024-08-24,oh
2024-08-25,ky
2024-08-26,il
2024-08-27,wa
2024-08-28,la
2024-08-29,nc
2024-08-30,nv
2024-08-31,ca
2024-09-01,in
2024-09-02,mi
2024-09-03,or
2024-09-04,al
2024-09-05,nv
2024-09-06,nd
2024-09-07,ri
2024-09-08,ar
2024-09-09,ia
2024-09-10,az
2024-09-11,wy
2024-09-12,or
2024-09-13,md
2024-09-14,dc
2024-09-15,nv
2024-09-16,ny
2024-09-17,md
2024-09-18,mi
2024-09-19,id
2024-09-20,or
2024-09-21,ks
2024-09-22,fl
2024-09-23,ny
2024-09-24,tn
2024-09-25,sd
2024-09-26,pa
2024-09-27,tn
2024-09-28,or
2024-09-29,il
2024-09-30,dc
2024-10-01,id
2024-10-02,ia
2024-10-03,id
2024-10-04,nc
2024-10-05,nh
2024-10-06,in
2024-10-07,nc
